model,C,control_override,scope,fold_id,n_samples,mean_log_loss
dummy_prior,,False,fold,0,4763,0.020872695499875676
dummy_prior,,False,fold,1,4763,0.02081990081754098
dummy_prior,,False,fold,2,4763,0.020722534767425447
dummy_prior,,False,fold,3,4762,0.02070293956282617
dummy_prior,,False,fold,4,4763,0.02063905076556149
dummy_prior,,False,overall,-1,23814,0.020751426318621424
dummy_prior,,True,fold,0,4763,0.020589752927981434
dummy_prior,,True,fold,1,4763,0.02054688529836922
dummy_prior,,True,fold,2,4763,0.020467357955278778
dummy_prior,,True,fold,3,4762,0.02042961955394507
dummy_prior,,True,fold,4,4763,0.02037135526189148
dummy_prior,,True,overall,-1,23814,0.020480996356822732
logistic_c_0.01,0.01,False,fold,0,4763,0.02265972225973632
logistic_c_0.01,0.01,False,fold,1,4763,0.022552636768419964
logistic_c_0.01,0.01,False,fold,2,4763,0.02235780217528614
logistic_c_0.01,0.01,False,fold,3,4762,0.0223225793827532
logistic_c_0.01,0.01,False,fold,4,4763,0.022437761254250996
logistic_c_0.01,0.01,False,overall,-1,23814,0.02246610639483768
logistic_c_0.01,0.01,True,fold,0,4763,0.020843141211280565
logistic_c_0.01,0.01,True,fold,1,4763,0.020821584830741806
logistic_c_0.01,0.01,True,fold,2,4763,0.020746737217397507
logistic_c_0.01,0.01,True,fold,3,4762,0.020578925009792876
logistic_c_0.01,0.01,True,fold,4,4763,0.020716359710546632
logistic_c_0.01,0.01,True,overall,-1,23814,0.02074135641650223
