target,positive_count,prevalence,prior_loss,logistic_loss,improvement,winner
proteasome_inhibitor,726,0.030486268581506677,0.1340025096486015,0.00871825827897305,0.12528425136962845,logistic
nfkb_inhibitor,832,0.03493743176282859,0.14872044560111922,0.033284644603647696,0.11543580099747153,logistic
cdk_inhibitor,340,0.014277315864617453,0.07371361651041372,0.02298494431592074,0.05072867219449298,logistic
egfr_inhibitor,336,0.014109347442680775,0.07301479726791568,0.026914652127557177,0.046100145140358505,logistic
tubulin_inhibitor,316,0.013269505332997396,0.0694891218394351,0.026513536734615817,0.04297558510481929,logistic
glucocorticoid_receptor_agonist,266,0.011169900058788948,0.06043078790105889,0.019221641175281728,0.04120914672577716,logistic
hmgcr_inhibitor,283,0.01188376585201982,0.06355217698762146,0.02465069910895265,0.03890147787866881,logistic
raf_inhibitor,223,0.009364239522969681,0.052322448456084164,0.014586999516069753,0.03773544894001441,logistic
pdgfr_inhibitor,297,0.012471655328798186,0.06608986906859535,0.03281493340031673,0.03327493566827862,logistic
kit_inhibitor,273,0.01146384479717813,0.06172158481841274,0.030267936073335194,0.03145364874507755,logistic
flt3_inhibitor,279,0.011715797430083144,0.06282168825750864,0.03495398174944986,0.02786770650805878,logistic
topoisomerase_inhibitor,127,0.00533299739648946,0.03281242658989243,0.018417129875711653,0.014395296714180779,logistic
mtor_inhibitor,130,0.0054589737129419665,0.03345907666071857,0.020622682933306668,0.0128363937274119,logistic
hsp_inhibitor,93,0.003905265810027715,0.025248114371720146,0.012787387104522754,0.012460727267197392,logistic
hdac_inhibitor,106,0.004451163181321912,0.028193367067321524,0.016347935520774404,0.01184543154654712,logistic
pi3k_inhibitor,151,0.006340807928109516,0.037911824214790404,0.029144800870806963,0.008767023343983441,logistic
vegfr_inhibitor,170,0.007138657932308726,0.04183263794185077,0.03344134287605062,0.00839129506580015,logistic
aurora_kinase_inhibitor,96,0.004031242126480222,0.02593407577693694,0.018005862638909832,0.007928213138027107,logistic
mek_inhibitor,72,0.0030234315948601664,0.020322592793091017,0.014543797918676087,0.00577879487441493,logistic
dna_inhibitor,402,0.016880826404635927,0.08430410752347506,0.0789226478001485,0.0053814597233265565,logistic
jak_inhibitor,92,0.003863273704543546,0.025018510892629627,0.019948235793783967,0.00507027509884566,logistic
dopamine_receptor_antagonist,424,0.017804652725287647,0.08796007145157612,0.08457355517725577,0.0033865162743203503,logistic
adrenergic_receptor_agonist,270,0.011337868480725623,0.06116906615643729,0.05801515315854712,0.003153912997890168,logistic
ppar_receptor_agonist,115,0.004829092130679433,0.030192117985824003,0.027472118713796376,0.002719999272027627,logistic
serotonin_receptor_antagonist,404,0.016964810615604266,0.0846385190311006,0.08217693187135004,0.002461587159750561,logistic
atpase_inhibitor,97,0.004073234231964391,0.026162142727109667,0.02388312857647932,0.002279014150630348,logistic
protein_synthesis_inhibitor,103,0.004325186864869404,0.02752015228259031,0.02548936056876763,0.002030791713822682,logistic
cyclooxygenase_inhibitor,435,0.018266565885613505,0.08976942564615796,0.08792153558182297,0.0018478900643349866,logistic
bromodomain_inhibitor,68,0.0028554631729234906,0.019357153655105652,0.01782943637370163,0.001527717281404023,logistic
retinoid_receptor_agonist,67,0.0028134710674393216,0.01911423188610258,0.017680134866277113,0.0014340970198254664,logistic
gsk_inhibitor,60,0.0025195263290501385,0.017394727641939067,0.01617840951443784,0.0012163181275012258,logistic
p38_mapk_inhibitor,62,0.0026035105400184764,0.017890259224102683,0.01679383250415361,0.0010964267199490736,logistic
phosphodiesterase_inhibitor,264,0.011085915847820609,0.060060632858514026,0.0592637804295715,0.000796852428942528,logistic
akt_inhibitor,66,0.002771478961955152,0.01887043340444333,0.01809357696157758,0.0007768564428657469,logistic
src_inhibitor,71,0.0029814394893759974,0.02008181392317229,0.019978252450459096,0.00010356147271319352,logistic
adrenergic_receptor_antagonist,360,0.015117157974300832,0.07717872059789672,0.07766743801718354,-0.0004887174192868132,prior
gamma_secretase_inhibitor,56,0.0023515579071134627,0.016398392114213917,0.01695370085284951,-0.0005553087386355911,prior
calcium_channel_blocker,281,0.011799781641051482,0.06318716143615845,0.06394253811911757,-0.0007553766829591219,prior
